month_id,employment,unemployment,unemployment_monthly
2000-07,88.8,11.2,11.2
2000-08,NA,NA,10.794295331922884
2000-09,NA,NA,10.429458963042189
2000-10,89.9,10.1,10.1
2000-11,NA,NA,10.494809306634076
2000-12,NA,NA,10.92597956076581
2001-01,88.6,11.4,11.4
2001-02,NA,NA,11.971585058236043
2001-03,NA,NA,12.601756968120881
2001-04,86.7,13.3,13.3
2001-05,NA,NA,12.176979734773601
2001-06,NA,NA,11.115637570757029
2001-07,89.9,10.1,10.099999999999998
2001-08,NA,NA,9.972006557898963
2001-09,NA,NA,9.872505730022407
2001-10,90.2,9.8,9.8
2001-11,NA,NA,9.937856073614299
2001-12,NA,NA,10.103690786741891
2002-01,89.7,10.3,10.3
2002-02,NA,NA,11.443372830375623
2002-03,NA,NA,12.63738276489427
2002-04,86.1,13.9,13.899999999999999
2002-05,NA,NA,12.931459311057768
2002-06,NA,NA,12.035951860168785
2002-07,88.8,11.2,11.2
2002-08,NA,NA,10.82697050371883
2002-09,NA,NA,10.495301077463651
2002-10,89.8,10.2,10.2
2002-11,NA,NA,10.299250046687984
2002-12,NA,NA,10.431917817190053
2003-01,89.4,10.6,10.6
2003-02,NA,NA,11.085421253108947
2003-03,NA,NA,11.616092335117239
2003-04,87.8,12.2,12.199999999999998
2003-05,NA,NA,12.302270942832074
2003-06,NA,NA,12.468105655959661
2003-07,87.3,12.7,12.699999999999998
2003-08,NA,NA,11.781927048244821
2003-09,NA,NA,10.919586539981356
2003-10,89.9,10.1,10.099999999999994
2003-11,NA,NA,10.364108619450297
2003-12,NA,NA,10.662611103079959
2004-01,89,11,10.999999999999998
2004-02,NA,NA,11.838917287733974
2004-03,NA,NA,12.734424738622952
2004-04,86.3,13.7,13.7
2004-05,NA,NA,12.963150941194568
2004-06,NA,NA,12.29981208868421
2004-07,88.3,11.7,11.700000000000001
2004-08,NA,NA,11.384907278397757
2004-09,NA,NA,11.119571737393617
2004-10,89.1,10.9,10.900000000000002
2004-11,NA,NA,11.021546222005782
2004-12,NA,NA,11.187380935133369
2005-01,88.6,11.4,11.4
2005-02,NA,NA,10.331291434079617
2005-03,NA,NA,9.29648282416346
2005-04,91.72,8.28,8.28
2005-05,NA,NA,8.087501467713505
2005-06,NA,NA,7.8951332004855
2005-07,92.3,7.7,7.6999999999999975
2005-08,NA,NA,7.601056654321996
2005-09,NA,NA,7.49492243792034
2005-10,92.62,7.38,7.379999999999999
2005-11,NA,NA,7.638693193822498
2005-12,NA,NA,7.890761957776433
2006-01,91.86,8.14,8.14
2006-02,NA,NA,8.168500918041964
2006-03,NA,NA,8.198351166404931
2006-04,91.77,8.23,8.230000000000002
2006-05,NA,NA,8.19835116640493
2006-06,NA,NA,8.168500918041964
2006-07,91.86,8.14,8.14
2006-08,NA,NA,7.894029474956027
2006-09,NA,NA,7.645277405264643
2006-10,92.61,7.39,7.39
2006-11,NA,NA,7.5439843726972144
2006-12,NA,NA,7.689918920249493
2007-01,92.17,7.83,7.829999999999999
2007-02,NA,NA,7.6931864374290875
2007-03,NA,NA,7.550568584139363
2007-04,92.6,7.4,7.400000000000003
2007-05,NA,NA,7.544033549780174
2007-06,NA,NA,7.680018014544795
2007-07,92.19,7.81,7.809999999999998
2007-08,NA,NA,7.30425353889143
2007-09,NA,NA,6.786849233933353
2007-10,93.75,6.25,6.250000000000001
2007-11,NA,NA,6.639810960851602
2007-12,NA,NA,7.00796402399485
2008-01,92.64,7.36,7.359999999999999
2008-02,NA,NA,7.579779530423881
2008-03,NA,NA,7.792047963227198
2008-04,92,8,8
2008-05,NA,NA,7.792047963227198
2008-06,NA,NA,7.579779530423882
2008-07,92.64,7.36,7.36
2008-08,NA,NA,7.194212503231735
2008-09,NA,NA,7.0151110130539385
2008-10,93.18,6.82,6.82
2008-11,NA,NA,7.122939079980556
2008-12,NA,NA,7.41149148082256
