month_id,sda,rrp,ibcl
1975-01,,,
1975-02,,,
1975-03,,,
1975-04,,,
1975-05,,,
1975-06,,,
1975-07,,,
1975-08,,,
1975-09,,,
1975-10,,,
1975-11,,,
1975-12,,,
1976-01,,,
1976-02,,,
1976-03,,,
1976-04,,,
1976-05,,,
1976-06,,,
1976-07,,,
1976-08,,,
1976-09,,,
1976-10,,,
1976-11,,,
1976-12,,,
1977-01,,,
1977-02,,,
1977-03,,,
1977-04,,,
1977-05,,,
1977-06,,,
1977-07,,,
1977-08,,,
1977-09,,,
1977-10,,,
1977-11,,,
1977-12,,,
1978-01,,,
1978-02,,,
1978-03,,,
1978-04,,,
1978-05,,,
1978-06,,,
1978-07,,,
1978-08,,,
1978-09,,,
1978-10,,,
1978-11,,,
1978-12,,,
1979-01,,,
1979-02,,,
1979-03,,,
1979-04,,,
1979-05,,,
1979-06,,,
1979-07,,,
1979-08,,,
1979-09,,,
1979-10,,,
1979-11,,,
1979-12,,,
1980-01,,,
1980-02,,,
1980-03,,,
1980-04,,,
1980-05,,,
1980-06,,,
1980-07,,,
1980-08,,,
1980-09,,,
1980-10,,,
1980-11,,,
1980-12,,,
1981-01,,,
1981-02,,,
1981-03,,,
1981-04,,,
1981-05,,,
1981-06,,,
1981-07,,,
1981-08,,,
1981-09,,,
1981-10,,,
1981-11,,,
1981-12,,,
1982-01,9.907,,11.007
1982-02,9.888,,12.969
1982-03,9.837,,13.084
1982-04,9.943,,12.895
1982-05,9.899,,14.496
1982-06,9.885,,10.865
1982-07,9.541,,9.17
1982-08,9.695,,10.861
1982-09,9.839,,13.948
1982-10,9.754,,11.029
1982-11,9.768,,10.373
1982-12,9.775,,16.272
1983-01,9.841,,11.391
1983-02,9.78,,14.453
1983-03,9.74,,14.752
1983-04,9.68,,11.195
1983-05,9.731,,13.958
1983-06,9.721,,13.266
1983-07,9.778,,13.125
1983-08,9.712,,16.389
1983-09,9.713,,15.616
1983-10,9.702,,23.705
1983-11,9.666,,20.114
1983-12,9.687,,30.951
1984-01,9.738,,25.373
1984-02,9.842,,20.594
1984-03,9.784,,8.721
1984-04,9.685,,18.174
1984-05,9.697,,35.501
1984-06,9.66,,41.277
1984-07,9.688,,39.03
1984-08,9.607,,27.721
1984-09,9.604,,36.381
1984-10,9.66,,39.841
1984-11,9.734,,29.607
1984-12,11.559,,17.179
1985-01,11.622,,18.061
1985-02,10.959,,18.491
1985-03,11.062,,25.048
1985-04,11.419,,20.974
1985-05,11.441,,20.261
1985-06,11.498,,21.93
1985-07,11.732,,15.226
1985-08,11.345,,9.251
1985-09,10.084,,10.384
1985-10,9.82,,13.092
1985-11,9.555,,15.019
1985-12,9.564,,14.441
1986-01,8.795,11.392,12.339
1986-02,8.78,22.337,20.546
1986-03,8.778,20.0,17.631
1986-04,8.775,20.0,15.808
1986-05,8.847,9.363,11.588
1986-06,8.509,9.794,11.826
1986-07,8.202,10.0,10.71
1986-08,7.928,10.0,8.057
1986-09,7.131,10.26,12.044
1986-10,7.009,8.691,8.597
1986-11,6.809,6.363,7.547
1986-12,6.352,8.943,11.355
1987-01,5.218,10.341,9.072
1987-02,5.145,7.507,6.209
1987-03,4.791,10.163,13.16
1987-04,4.807,7.629,13.108
1987-05,4.866,6.935,10.267
1987-06,4.366,6.183,7.725
1987-07,4.315,6.069,8.11
1987-08,4.307,7.12,8.412
1987-09,4.251,9.998,15.874
1987-10,4.154,12.218,13.313
1987-11,4.061,15.002,14.349
1987-12,4.074,21.295,22.526
1988-01,4.106,16.185,16.053
1988-02,4.121,11.759,8.431
1988-03,4.101,4.75,13.499
1988-04,4.099,4.75,15.613
1988-05,4.099,8.03,13.326
1988-06,4.102,8.835,11.358
1988-07,4.167,8.835,12.014
1988-08,4.101,8.835,11.773
1988-09,4.087,19.34,16.221
1988-10,4.102,15.891,15.975
1988-11,4.048,14.0,16.464
1988-12,4.063,12.895,19.124
1989-01,5.476,13.325,14.058
1989-02,5.213,12.142,13.398
1989-03,5.666,11.577,13.556
1989-04,5.028,11.647,12.7
1989-05,5.575,9.002,17.607
1989-06,5.566,11.053,15.318
1989-07,6.149,14.492,13.615
1989-08,5.815,14.492,11.389
1989-09,6.854,25.449,26.553
1989-10,7.201,14.403,21.779
1989-11,6.907,11.537,10.532
1989-12,8.557,11.537,10.321
1990-01,7.838,11.537,11.348
1990-02,7.232,11.537,10.134
1990-03,8.765,29.147,16.497
1990-04,8.462,29.147,17.006
1990-05,8.657,29.147,17.606
1990-06,10.924,4.4,8.377
1990-07,10.817,8.611,10.127
1990-08,10.922,26.836,16.94
1990-09,12.142,30.828,15.106
1990-10,14.114,30.828,9.46
1990-11,12.481,30.828,10.29
1990-12,14.388,56.647,36.21
1991-01,14.508,9.851,11.97
1991-02,12.328,6.314,12.578
1991-03,12.622,6.026,14.724
1991-04,10.984,6.738,10.403
1991-05,11.117,5.449,17.997
1991-06,10.788,5.544,11.433
1991-07,10.212,16.492,16.517
1991-08,10.234,19.905,21.164
1991-09,10.184,16.188,20.442
1991-10,10.399,16.4,15.868
1991-11,9.515,18.823,20.026
1991-12,11.221,14.611,14.854
1992-01,10.409,17.681,14.509
1992-02,10.314,17.612,14.944
1992-03,9.84,15.217,14.892
1992-04,9.871,18.031,14.058
1992-05,9.457,17.18,17.736
1992-06,8.574,11.9666,15.527
1992-07,10.917,16.715,17.55
1992-08,11.526,30.18,16.895
1992-09,10.991,34.4098,20.075
1992-10,11.826,23.7041,15.165
1992-11,11.279,14.1038,14.411
1992-12,11.741,30.5164,23.212
1993-01,10.743,20.742,13.225
1993-02,10.068,15.151,12.558
1993-03,10.244,10.978,11.271
1993-04,8.829,10.2601,10.8805
1993-05,8.585,10.0876,10.4529
1993-06,8.137,9.7244,10.1171
1993-07,6.307,11.3049,10.9693
1993-08,6.124,19.0529,19.5141
1993-09,6.298,11.6606,11.9491
1993-10,6.619,14.3458,15.2495
1993-11,7.636,14.3259,14.9241
1993-12,9.756,22.1808,24.0745
1994-01,8.711,12.4929,12.94
1994-02,8.741,18.9285,20.1045
1994-03,8.852,13.8365,15.0023
1994-04,8.559,17.3458,20.2488
1994-05,8.485,20.1253,23.3018
1994-06,9.368,12.0532,12.895
1994-07,8.481,12.3924,13.5219
1994-08,8.984,10.0868,10.2787
1994-09,7.332,8.4798,8.6792
1994-10,6.302,8.305,8.6109
1994-11,6.033,9.0802,10.3246
1994-12,7.006,9.8598,11.9551
1995-01,7.483,8.8858,9.169
1995-02,6.701,10.6076,11.1068
1995-03,8.981,19.2664,20.5104
1995-04,10.082,12.8499,21.3757
1995-05,10.014,9.9094,11.2186
1995-06,8.864,9.3525,9.8592
1995-07,8.489,7.5852,8.8346
1995-08,7.21,7.2983,7.4258
1995-09,6.212,8.2503,8.3829
1995-10,6.456,8.7608,9.2237
1995-11,7.356,12.3424,11.8695
1995-12,8.675,14.0,14.1294
1996-01,7.55,13.9752,14.0456
1996-02,7.733,13.9675,14.0712
1996-03,7.898,13.87,13.9512
1996-04,8.304,13.1728,13.155
1996-05,8.253,12.3198,13.0771
1996-06,7.873,11.9245,14.3579
1996-07,8.515,11.6663,12.1659
1996-08,8.14,10.6831,11.4028
1996-09,7.816,11.45,11.6836
1996-10,7.647,11.0,11.5775
1996-11,7.754,10.857,12.538
1996-12,7.856,10.75,11.2138
1997-01,7.958,10.5432,10.5871
1997-02,6.889,10.5,10.5503
1997-03,6.951,10.1701,10.2244
1997-04,6.416,10.0481,10.1992
1997-05,6.798,15.7877,15.0518
1997-06,7.233,14.3625,14.3749
1997-07,8.837,25.7204,24.7918
1997-08,10.47,15.6082,18.2137
1997-09,10.531,12.0,15.74
1997-10,11.931,12.0952,33.8702
1997-11,11.605,12.0,16.653
1997-12,11.798,11.4894,13.6069
1998-01,13.708,12.3704,12.9994
1998-02,12.521,13.1175,13.5047
1998-03,12.109,13.0,13.2635
1998-04,12.069,13.0161,13.225
1998-05,10.311,13.3486,13.5811
1998-06,10.083,13.125,13.2573
1998-07,10.292,13.0966,13.2005
1998-08,10.246,16.7342,15.8075
1998-09,10.075,16.0,15.9039
1998-10,9.929,13.9449,14.0415
1998-11,10.04,13.6773,14.0916
1998-12,10.044,13.375,13.8629
1999-01,9.308,13.0821,13.1967
1999-02,8.875,12.5,12.6921
1999-03,8.93,12.115,12.3182
