train_start,train_end,test_start,test_end,rmse,mae
2002-01-31,2009-06-30,2009-07-31,2009-09-30,0.9015895381930903,0.8577508096725789
2002-02-28,2009-07-31,2009-08-31,2009-10-31,0.8424099831666676,0.778300414634617
2002-03-31,2009-08-31,2009-09-30,2009-11-30,0.5996223498935445,0.5996223498935445
2002-04-30,2009-09-30,2009-10-31,2009-12-31,0.8982763066994514,0.8185745733060572
2002-05-31,2009-10-31,2009-11-30,2010-01-31,1.5291966646159967,1.4847679591327931
2002-06-30,2009-11-30,2009-12-31,2010-02-28,1.7952816823364852,1.7952816823364852
2002-07-31,2009-12-31,2010-01-31,2010-03-31,1.6269200999273827,1.6247392786562076
2002-08-31,2010-01-31,2010-02-28,2010-04-30,2.644264522087727,2.6431308313680257
2002-09-30,2010-02-28,2010-03-31,2010-05-31,1.9001682725578617,1.9001682725578617
2002-10-31,2010-03-31,2010-04-30,2010-06-30,1.773090923212805,1.767974020278413
2002-11-30,2010-04-30,2010-05-31,2010-07-31,1.4914660565796598,1.4883601319057307
2002-12-31,2010-05-31,2010-06-30,2010-08-31,1.2905448962171353,1.2905448962171353
2003-01-31,2010-06-30,2010-07-31,2010-09-30,1.883286547701599,1.8768410592656377
2003-02-28,2010-07-31,2010-08-31,2010-10-31,1.933213593602683,1.7989579697200844
2003-03-31,2010-08-31,2010-09-30,2010-11-30,1.674671283051432,1.674671283051432
2003-04-30,2010-09-30,2010-10-31,2010-12-31,1.2558163127307072,1.231201407905442
2003-05-31,2010-10-31,2010-11-30,2011-01-31,1.6503771017181228,1.6496300076848152
2003-06-30,2010-11-30,2010-12-31,2011-02-28,2.0218048056500244,2.0218048056500244
2003-07-31,2010-12-31,2011-01-31,2011-03-31,2.590278480838775,2.5663853118147295
2003-08-31,2011-01-31,2011-02-28,2011-04-30,2.7996005526428385,2.797709357476529
2003-09-30,2011-02-28,2011-03-31,2011-05-31,2.9007400051662815,2.9007400051662815
2003-10-31,2011-03-31,2011-04-30,2011-06-30,2.937392571543916,2.9298907039270645
2003-11-30,2011-04-30,2011-05-31,2011-07-31,3.0545581332642993,3.050902789678127
2003-12-31,2011-05-31,2011-06-30,2011-08-31,3.4149122952302413,3.4149122952302413
2004-01-31,2011-06-30,2011-07-31,2011-09-30,1.5264686052068601,1.5183169074112266
2004-02-29,2011-07-31,2011-08-31,2011-10-31,1.8171522845003376,1.8169290072496538
2004-03-31,2011-08-31,2011-09-30,2011-11-30,2.3287511489343604,2.3287511489343604
2004-04-30,2011-09-30,2011-10-31,2011-12-31,1.7029000196918356,1.6267841684443705
2004-05-31,2011-10-31,2011-11-30,2012-01-31,1.0542402234676123,1.0251346117530238
2004-06-30,2011-11-30,2011-12-31,2012-02-29,1.1971693931002862,1.1971693931002862
2004-07-31,2011-12-31,2012-01-31,2012-03-31,0.6801135299257646,0.5966900019449296
2004-08-31,2012-01-31,2012-02-29,2012-04-30,0.6424880554962954,0.6417476089515237
2004-09-30,2012-02-29,2012-03-31,2012-05-31,0.3259627841826469,0.3259627841826469
2004-10-31,2012-03-31,2012-04-30,2012-06-30,0.18466424240450455,0.16389711201592908
2004-11-30,2012-04-30,2012-05-31,2012-07-31,0.49057790204986834,0.4802907006726149
2004-12-31,2012-05-31,2012-06-30,2012-08-31,0.6279180704502632,0.6279180704502632
2005-01-31,2012-06-30,2012-07-31,2012-09-30,0.4498442652027775,0.3354071144689275
2005-02-28,2012-07-31,2012-08-31,2012-10-31,0.4789155984607551,0.4769507176848786
2005-03-31,2012-08-31,2012-09-30,2012-11-30,0.4508363248301377,0.4508363248301377
2005-04-30,2012-09-30,2012-10-31,2012-12-31,0.12642483297723994,0.12434222744697825
2005-05-31,2012-10-31,2012-11-30,2013-01-31,0.13677696116045762,0.13677423204293881
2005-06-30,2012-11-30,2012-12-31,2013-02-28,0.11864070039572505,0.11864070039572505
2005-07-31,2012-12-31,2013-01-31,2013-03-31,0.9278956496000071,0.901430389252582
2005-08-31,2013-01-31,2013-02-28,2013-04-30,0.7894428538328788,0.7872630608658667
2005-09-30,2013-02-28,2013-03-31,2013-05-31,0.7403732888663137,0.7403732888663137
2005-10-31,2013-03-31,2013-04-30,2013-06-30,0.3632611510749003,0.32455562972973856
2005-11-30,2013-04-30,2013-05-31,2013-07-31,0.40870813023838826,0.39241246930233065
2005-12-31,2013-05-31,2013-06-30,2013-08-31,0.4980416910239591,0.4980416910239591
2006-01-31,2013-06-30,2013-07-31,2013-09-30,0.35730695251962263,0.34341149993608644
2006-02-28,2013-07-31,2013-08-31,2013-10-31,0.3560664274723297,0.35450062491902057
